number,nextgen_id,time_zone,sunday_start_time,sunday_end_time,monday_start_time,monday_end_time,tuesday_start_time,tuesday_end_time,wednesday_start_time,wednesday_end_time,thursday_start_time,thursday_end_time,friday_start_time,friday_end_time,saturday_start_time,saturday_end_time
0471,9df31bf5-14e6-40a8-901f-1d2416a047ce,America/New_York,12:00,20:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0472,f9224b09-e5d0-497b-8adf-ea9432ca43fc,America/New_York,12:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0474,67dad560-8ce3-4448-8ad3-03b55ae13fdb,America/Chicago,11:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0475,7457e554-172d-4677-bafd-758679437c83,America/Tijuana,11:00,19:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0476,e41ff8dd-24b7-4408-a629-62a264d8cc32,America/New_York,12:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0477,bf67a6ab-8d74-4059-b677-e5693e864c22,America/Chicago,12:00,20:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0478,ab943dd5-035d-4f02-82fb-89fe42fe946f,America/Chicago,11:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0479,d236a288-a363-4473-a82e-ae8652937d0e,America/Denver,11:00,20:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0483,7634c09e-e228-4cca-acb6-74af7e2366d6,America/New_York,12:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0485,5e64119e-35b8-45fc-bc61-1884bd540dcd,America/Chicago,12:00,20:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
0486,acabc5c2-19dd-4573-aca1-f4a116d7f58e,America/Chicago,12:00,18:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00
0487,945f8916-da3e-4b94-82a1-ef52079e6308,America/New_York,11:00,20:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
